#{"t_start": 1657722338.7432427, "env_id": "CustomHopper-source-v0"}
r,l,t
210.372926,93,14.419615
213.134445,100,14.493434
234.620804,105,14.565881
200.870092,88,14.627381
219.112234,97,14.699969
262.47153,109,14.779256
235.786198,102,14.849201
209.843416,96,14.918066
242.076187,127,15.005367
277.14543,137,15.100507
177.305898,83,15.157573
206.155184,92,15.223666
284.782261,120,15.305631
202.352553,91,15.368068
224.745562,99,15.438257
197.492446,104,15.50933
244.94488,109,15.778523
225.397257,100,15.846601
195.994362,108,15.922118
240.844522,109,15.996661
263.372991,129,16.08473
233.790189,110,16.160422
148.201133,76,16.21263
228.294635,97,16.279073
176.033146,83,16.335938
255.100419,122,16.421568
219.384054,106,16.496102
296.939073,131,16.597866
261.50244,116,16.684571
150.951504,81,16.743903
218.576928,102,16.817867
111.44331,64,16.864045
267.866818,110,16.948819
227.981525,113,17.031698
286.481398,123,17.121519
329.038003,127,17.216883
308.264368,144,17.538901
326.451208,153,17.652162
235.001869,97,17.727399
328.546484,138,17.823332
149.410581,87,17.883574
225.827349,104,17.954311
233.555028,102,18.024668
313.184815,128,18.112475
312.945541,126,18.198953
176.497719,89,18.261352
208.377603,94,18.326607
311.241126,125,18.412026
316.642651,135,18.503779
302.558177,123,18.587846
330.342133,134,18.679325
289.642576,127,18.765525
198.339236,97,18.840381
31.352469,25,18.863216
278.814861,134,19.175824
325.085587,130,19.268556
228.900894,102,19.347773
232.099061,138,19.459466
262.688189,117,19.578564
280.84008,123,19.673649
275.158559,134,19.765194
306.697802,124,19.84931
218.282063,97,19.915465
232.917184,104,19.986377
297.740091,134,20.077635
331.730162,156,20.183738
166.570416,78,20.237078
220.79412,109,20.312078
251.048455,113,20.388533
345.34967,134,20.479405
348.169978,167,20.592811
309.375982,131,20.873613
285.758668,124,20.957961
201.40299,92,21.021101
263.820408,117,21.100638
403.059045,172,21.217427
301.637732,157,21.324397
305.85609,135,21.416715
237.532112,101,21.485901
351.52639,159,21.59348
213.99186,96,21.659566
348.628295,164,21.771521
201.549232,98,21.83792
321.366462,133,21.928378
350.023102,162,22.038709
215.27359,95,22.104031
332.331331,156,22.401404
355.73226,152,22.505335
190.181816,90,22.566745
319.506117,133,22.656689
198.593737,106,22.728338
342.947911,131,22.817369
329.952525,139,22.911336
339.087062,139,23.00623
385.852424,151,23.108979
385.475519,189,23.238392
359.588047,146,23.33759
489.627452,201,23.473555
318.307994,155,23.578869
356.024897,180,23.701414
198.208486,94,23.765339
406.198372,178,24.077649
412.175546,159,24.186264
415.397862,152,24.28967
351.288643,148,24.410526
392.387223,177,24.534153
338.641866,151,24.63625
286.020595,118,24.71595
235.035379,129,24.802553
806.303025,329,25.023488
268.180799,142,25.119618
380.21285,144,25.217348
414.470588,177,25.338173
213.301337,108,25.604366
228.826808,106,25.67714
356.793172,143,25.774844
491.107921,216,25.920834
222.010622,125,26.006114
340.332976,147,26.105719
489.292407,215,26.251258
325.753985,150,26.353523
334.598708,155,26.458601
271.371637,162,26.568133
328.741217,133,26.65823
326.756888,153,26.762377
405.339029,166,26.875481
404.931641,170,27.253808
351.889933,137,27.347257
344.378065,147,27.447719
407.36347,179,27.578672
274.617725,117,27.671918
407.512741,193,27.816464
310.785915,142,27.912419
338.719003,155,28.017438
325.214752,127,28.10442
407.880957,153,28.230366
396.337868,151,28.343512
360.859852,147,28.443595
371.029452,157,28.550488
385.632101,160,28.659325
