#{"t_start": 1657721762.1764545, "env_id": "CustomHopper-source-v0"}
r,l,t
707.174965,209,209.698368
824.157752,241,209.86086
1479.721852,500,210.197571
1084.367479,320,210.413389
1600.509777,451,210.717205
1101.294578,310,211.835506
1648.612364,500,212.172277
924.200697,273,212.356967
1125.381091,316,212.570282
1126.817781,324,212.789025
831.83257,248,212.956778
1156.478452,328,214.087658
827.732375,244,214.252814
1605.443317,467,214.567886
1581.18408,500,214.905767
1638.156175,500,215.242935
1692.263013,500,216.488845
910.888481,271,216.672053
924.228346,264,216.85113
640.24088,192,216.981352
952.620549,284,217.174095
1230.756713,363,217.419276
793.695118,230,217.575062
838.512236,241,218.628342
1226.585149,350,218.865422
768.967455,223,219.016025
1543.033916,444,219.315879
900.534992,259,219.491728
910.394716,266,219.671622
672.957121,201,219.8073
1257.274914,373,220.947348
1596.24052,500,221.284894
1615.381599,500,221.622433
1486.154767,500,221.960127
